ID,Tipo,COD,Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterna,Testo del pulsante,Posizione,Variation Gallery,Swatches Attributes,Attributo 1 nome,Attributo 1 valuta(e),Attributo 1 visibile,Attributo 1 globale,Attributo 2 nome,Attributo 2 valuta(e),Attributo 2 visibile,Attributo 2 globale,Attributo 3 nome,Attributo 3 valuta(e),Attributo 3 visibile,Attributo 3 globale,Attributo 4 nome,Attributo 4 valuta(e),Attributo 4 visibile,Attributo 4 globale,Attributo 5 nome,Attributo 5 valuta(e),Attributo 5 visibile,Attributo 5 globale,Attributo 6 nome,Attributo 6 valuta(e),Attributo 6 visibile,Attributo 6 globale,Attributo 7 nome,Attributo 7 valuta(e),Attributo 7 visibile,Attributo 7 globale,Attributo 8 nome,Attributo 8 valuta(e),Attributo 8 visibile,Attributo 8 globale,Attributo 9 nome,Attributo 9 valuta(e),Attributo 9 visibile,Attributo 9 globale,Attributo 10 nome,Attributo 10 valuta(e),Attributo 10 visibile,Attributo 10 globale,Attributo 11 nome,Attributo 11 valuta(e),Attributo 11 visibile,Attributo 11 globale,Attributo 12 nome,Attributo 12 valuta(e),Attributo 12 visibile,Attributo 12 globale,Attributo 13 nome,Attributo 13 valuta(e),Attributo 13 visibile,Attributo 13 globale,Attributo 14 nome,Attributo 14 valuta(e),Attributo 14 visibile,Attributo 14 globale
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/b8c2-32401s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/0048-32402s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/7cab-3240ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1055 cm,1,1,Larghezza,800 cm,1,1,Altezza Totale,955 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"76,5 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,210 kg,1,1,Tempo di installazione,8x8x585 cm,1,1,,,1,1,,5 ore,1,1,,,,,,,,

5030,simple,,JUNGLE 3241,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/4d31-32411s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/752a-32412s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2001-3241ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1530 cm,1,1,Larghezza,1325 cm,1,1,Altezza Totale,955 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"141,1 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,310 kg,1,1,Tempo di installazione,687x538x100 cm,1,1,,,1,1,,7 ore,1,1,,,,,,,,

5031,simple,,JUNGLE 3245,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/718e-32451s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/f5b7-32452s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/5dbb-3245ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1530 cm,1,1,Larghezza,1520 cm,1,1,Altezza Totale,955 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"174,3 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,210 kg,1,1,Tempo di installazione,8x8x585 cm,1,1,,,1,1,,5 ore,1,1,,,,,,,,

5032,simple,,JUNGLE 3260,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/6e04-32601s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/e79a-32602s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/b4cc-3260ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,2050 cm,1,1,Larghezza,2000 cm,1,1,Altezza Totale,955 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"281,4 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,210 kg,1,1,Tempo di installazione,8x8x585 cm,1,1,,,1,1,,"8,5 ore",1,1,,,,,,,,

5033,simple,,CASTILLO 3001-1,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/1e43-3001-11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/3094-3001-12s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/5da7-3001-1ci1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,350 cm,1,1,Larghezza,215 cm,1,1,Altezza Totale,290 cm,1,1,Età,1 - 8 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"25,6 m2",1,1,In conformità alla norma EN,<60 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,17 kg,1,1,Tempo di installazione,8x8x340 cm,1,1,,,1,1,,12 ore,1,1,,,,,,,,

5034,simple,,CASTILLO 3002-1,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/30021.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/30022.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/3002-1ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,280 cm,1,1,Larghezza,175 cm,1,1,Altezza Totale,380 cm,1,1,Età,3 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"21,4 m2",1,1,In conformità alla norma EN,120 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,26 kg,1,1,Tempo di installazione,8x8x432 cm,1,1,,,1,1,,20 ore,1,1,,,,,,,,

5035,simple,,CASTILLO 3003-1,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/fea6-3003-11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/7f9e-3003-12s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/9453-3003-1ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,390 cm,1,1,Larghezza,305 cm,1,1,Altezza Totale,350 cm,1,1,Età,3 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"32,4 m2",1,1,In conformità alla norma EN,200 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,19 kg,1,1,Tempo di installazione,8x8x394 cm,1,1,,,1,1,,21 ore,1,1,,,,,,,,

5036,simple,,CASTILLO 3004-1,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/0c59-3004-11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/c9d1-3004-12s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/670d-3004-1ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,570 cm,1,1,Larghezza,170 cm,1,1,Altezza Totale,380 cm,1,1,Età,3 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"33,7 m2",1,1,In conformità alla norma EN,150 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,26 kg,1,1,Tempo di installazione,8x8x432 cm,1,1,,,1,1,,21 ore,1,1,,,,,,,,

5037,simple,,CASTILLO 3027-1,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2e63-3027-11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/0e7d-3027-12s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/78f7-3027-1ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,535 cm,1,1,Larghezza,375 cm,1,1,Altezza Totale,510 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"43,1 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,65 kg,1,1,Tempo di installazione,8x8x510 cm,1,1,,,1,1,,48 ore,1,1,,,,,,,,

5038,simple,,CASTILLO 3028-1,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/60a7-3028-11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/78b7-3028-12s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/d4d8-3028-1ci1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,825 cm,1,1,Larghezza,735 cm,1,1,Altezza Totale,510 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"63,2 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,235 kg,1,1,Tempo di installazione,513x101x366 cm,1,1,,,1,1,,80 ore,1,1,,,,,,,,

5039,simple,,CASTILLO 3029-1,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
